page_index,record_index,inst_raw,book_page_raw,ref_book_page_raw,recorded_at_raw,town_primary,address_primary,consideration_raw,descr_raw,parties_n
,,3936,23657-569,,01-19-2021 1:52:54p,AGAWAM,SHOEMAKER LA,1.00,,4
,,4148,23659-73,,01-20-2021 8:54:27a,HOLYOKE,INGLESIDE ST,10.00,INGLESIDE ST,4
,,4191,23659-320,,01-20-2021 9:36:54a,HOLYOKE,ARTHUR ST,,"INGLESIDE, ARTHUR STS",7
,,4617,23663-216,,01-21-2021 1:46:20p,SOUTHWICK,HONEY BIRD RUN,"125,000.00",HONEY BIRD RUN,2
,,4683,23663-566,,01-21-2021 3:05:53p,SOUTHWICK,HONEY BIRD RUN,"150,000.00",HONEY BIRD RU,2
,,4670,23663-521,,01-21-2021 2:54:24p,SOUTHWICK,HONEY BIRD RUN,"140,000.00",HONEY BIRD RU,2
,,4825,23664-576,,01-22-2021 11:12:47a,LUDLOW,SUNSET RIDGE,"125,000.00",SUNSET RIDGE,3
,,4993,23666-247,,01-22-2021 2:04:34p,LUDLOW,HARVEST DR,"139,900.00",HARVEST DR,3
,,5108,23667-171,,01-25-2021 8:38:55a,BRIMFIELD,FIRST ST,1.00,FIRST ST,0
,,5260,23668-256,,01-25-2021 11:48:53a,BRIMFIELD,FIRST ST,,FIRST ST,10
,,5419,23669-482,,01-25-2021 2:56:59p,BLANDFORD,GIBBS RD,"205,000.00",,2
,,6133,23676-214,,01-27-2021 3:37:55p,HOLYOKE,WHITNEY AVE,"257,500.00",,2
,,6402,23678-212,,01-28-2021 2:04:09p,WESTFIELD,NORTH RD,1.00,ORTHAMPTON ST,6
,,6658,23680-457,,01-29-2021 10:19:19a,MONSO,PARADISE LAKE RD,"170,000.00",HILLTOP DR &0O,5
,,6656,23680-452,,01-29-2021 10:10:50a,LUDLOW,ALDEN ST,"93,000.00",ALDEN ST,4
,,6871,23682-309,,01-29-2021 1:36:35p,CHICOPEE,SYCAMORE LA,"400,000.00",SYCAMORE LA,3
,,6942,23683-39,,01-29-2021 2:11:54p,TOLLAND,WOODCHUCK HOLLOW RD,,WOODCHUCK HOLLOW RD,2
,,6972,23683-176,,01-29-2021 2:30:53p,WESTFIELD,CLINTON AVE,"299,900.00",,2
,,7169,23684-468,,02-01-2021 8:45:37a,SOUTHWICK,LAKEVIEW ST,"104,475.00",,0
,,7425,23686-401,,02-01-2021 12:04:08p,HOLYOKE,BULLARD AVE,"515,000.00","MONTGOMERY, BULLARD AVES",4
,,8385,23693-547,,02-05-2021 9:34:04a,MONSON,LAKESHORE DR,"74,000.00",LAKESHORE DR,6
,,8433,23694-84,01080-0267,02-05-2021 10:49:59a,CHICOPEE,WEST ST,"130,000.00",WEST ST,3
,,8476,23694-198,,02-05-2021 11:30:29a,TOLLAND,COLEBROOK RIVER RD,"20,000.00",COLEBROOK RIVER RD,3
,,8514,23694-409,,02-05-2021 12:20:20p,PALMER,MAIN ST,"255,000.00",MAT ST,3
,,9203,23699-430,,02-09-2021 12:31:14p,WESTFIELD,TIMBERSWAMP RD,1.00,TIMBERSWAMP RD,4
,,9415,23701-319,,02-10-2021 11:11:22a,RUSSELL,HUNTINGTON RD,100.00,HUNTINGTON RD,4
,,9467,23701-558,,02-10-2021 12:53:44p,SPRINGFIELD,SUPERIOR AVE,"38,500.00",SUPERIOR AVE,3
,,9458,23701-526,,02-10-2021 12:43:58p,PALMER,WILBRAHAM ST,"535,000.00",WILBRAHAM ST,2
,,9532,23702-322,,02-10-2021 2:39:10p,BAST LONGMEADOW,BALDWIN ST,"1,500,000.00","BALDWIN ST,GLENDALE RD &0O",2
,,9806,23704-555,,02-11-2021 2:00:00p,SPRINGFIELD,PINE ST,1.00,PINE ST,3
,,9804,23704-550,,02-11-2021 1:58:08p,SPRINGFIELD,PINE ST,1.00,PINE ST,3
,,9991,23705-579,,02-12-2021 9:43:06a,LUDLOW,SUNSET RIDGE,"190,000.00",SUNSET RIDGE,3
,,10046,23706-208,,02-12-2021 11:06:17a,LUDLOW,MARIAS WAY,"125,000.00",MARIAS WAY,2
,,10068,23706-304,,02-12-2021 11:25:09a,WEST SPRINGFIELD,YORK ST,"100,000.00",YORK ST,3
,,10303,23708-130,,02-12-2021 2:52:08p,MONSO,MUNN RD,"212,000.00",MU RD,5
,,10515,23709-574,,02-16-2021 11:10:41a,WEST SPRINGFIELD,AGAWAM AVE,10.00,AGAWAM AVE,3
,,10533,23710-53,,02-16-2021 11:53:50a,LUDLOW,CHURCH ST,1.00,CHURCH ST,3
,,10530,23710-36,,02-16-2021 11:44:49a,LUDLOW,CHURCH ST,1.00,CHURCH ST,3
,,10569,23710-324,,02-16-2021 12:45:24p,LUDLOW,FULLER ST,,,3
,,10924,23713-4,,02-17-2021 11:48:59a,PALMER,NORTH ST,1.00,NORTH ST,5
,,10920,23712-595,,02-17-2021 11:44:45a,PALMER,NORTH ST,1.00,NORTH ST,5
,,11007,23713-483,,02-17-2021 2:02:12p,SPRINGFIELD,OAKLAND ST,,OAKLAND ST,2
,,11045,23714-39,,02-17-2021 2:47:49p,BRIMFIELD,DUNHAMTOWN RD,"71,000.00",DUNHAMTOWN RD,7
,,11056,23714-107,,02-17-2021 2:51:23p,SPRINGFIELD,EASTERN AVE,"30,000.00",EASTERN AVE,0
,,11115,23714-385,,02-18-2021 8:36:35a,SPRINGFIELD,LOCUST ST,"1,343.80",LOCUST ST,2
,,11114,23714-383,,02-18-2021 8:36:35a,SPRINGFIELD,LOCUST ST,1.00,LOCUST ST,1
,,11113,23714-378,,02-18-2021 8:36:35a,SPRINGFIELD,LOCUST ST,1.00,LOCUST ST,2
,,11112,23714-376,,02-18-2021 8:36:35a,SPRINGFIELD,LOCUST ST,"2,737.20",LOCUST ST,2
,,11111,23714-374,,02-18-2021 8:36:35a,SPRINGFIELD,LOCUST ST,1.00,LOCUST ST,1
,,11110,23714-369,,02-18-2021 8:36:35a,SPRINGFIELD,LOCUST ST,1.00,LOCUST ST,0
,,11272,23715-390,,02-18-2021 11:37:23a,SPRINGFIELD,BUCKINGHAM ST,"26,000.00",BUCKINGHAM ST,3
,,11293,23715-475,,02-18-2021 12:09:25p,SPRINGFIELD,HANCOCK ST,"23,000.00",HANCOCK ST,2
,,11320,23716-39,,02-18-2021 1:17:41p,AGAWAM,CARR AVE,"10,000.00",CARR AVE,3
,,11316,23716-17,,02-18-2021 1:11:55p,AGAWAM,CARR AVE,"5,000.00",CARR AVE,0
,,11364,23716-243,,02-18-2021 2:33:02p,AGAWAM,CARR AVE,"5,000.00",CARR AVE,6
,,11598,23717-461,,02-19-2021 1:23:36p,LUDLOW,SUNSET RIDGE,"130,000.00",SUNSET RIDGE,4
,,11581,23717-359,,02-19-2021 12:44:14p,SPRINGFIELD,PAGE BLVD,1.00,PAGE BLVD,2
,,11648,23718-131,,02-19-2021 2:22:28p,SPRINGFIELD,PAGE BLVD,"175,000.00",,1
,,11728,23718-555,,02-19-2021 3:57:27p,HOLYOKE,DWIGHT ST,"435,000.00",DWIGHT ST,1
,,11831,23719-385,,02-22-2021 9:41:40a,AGAWAM,SOUTH WESTFIELD ST,1.00,SOUTH WESTFIELD ST OFE,3
,,12148,23722-119,,02-23-2021 8:41:20a,WESTFIELD,NORTH RD,1.00,NORTH RD,4
,,12224,23722-585,,02-23-2021 11:37:09a,WESTFIELD,NORTH RD,1.00,,4
,,12703,23726-370,,02-25-2021 9:23:04a,CHESTER,TAFT RD,"280,000.00",TAFT RD OFE,2
,,12690,23726-326,,02-25-2021 8:54:57a,BRIMFIELD,HAYNES HILL RD,,,6
,,12737,23726-517,,02-25-2021 11:04:02a,BRIMFIELD,HAYNES HILL RD,"253,750.00",,3
,,12745,23726-544,,02-25-2021 11:05:47a,PALMER,SPRINGFIELD ST,"147,900.00",SPRINGFIELD ST,3
,,12841,23727-368,,02-25-2021 1:32:06p,CHICOPEE,CHICOPEE ST,"22,500.00",CHICOPEE ST,3
,,13153,23729-570,,02-26-2021 11:23:53a,BRIMFIELD,FIRST ST,"20,000.00",FIRST ST,4
,,13130,23729-445,,02-26-2021 11:01:14a,AGAWAM,MAPLE VIEW LA,"267,500.00",UNIT A,3
,,13247,23730-484,,02-26-2021 12:16:24p,SPRINGFIELD,PEARL ST,"495,000.00","SPRING, PEARL STS",2
,,13359,23731-340,,02-26-2021 1:19:54p,LUDLOW,SUNSET RIDGE,"200,000.00",SUNSET RIDGE,3
,,13460,23732-166,,02-26-2021 2:06:25p,HAMPDE,GLENDALE RD,"15,000.00",GLENDALE RD,2
,,13835,23735-86,,03-01-2021 1:23:53p,LUDLOW,MASSACHUSETTS AVE,"87,000.00",MASSACHUSETTS AVE,3
,,,,,,LONGMEADOW,ANTHONY,,,6
,,14407,23739-318,,03-03-2021 10:06:53a,CHICOPEE,CLARENDON AVE,"210,000.00",CLARENDON AVE,2
,,14373,23739-145,,03-03-2021 9:24:17a,AGAWAM,COSGROVE ST,,COSGROVE ST,1
,,14975,23743-248,,03-05-2021 11:28:22a,WEST SPRINGFIELD,BENNETT ST,"5,000.00",BENNETT ST,3
,,15239,23745-370,,03-05-2021 3:01:59p,CHICOPEE,GROVE ST,"130,000.00",GROVE ST,5
,,15276,23745-534,,03-05-2021 3:26:02p,LUDLOW,HARVEST DR,"139,900.00",HARVEST DR,3
,,15877,23751-508,,03-09-2021 11:49:22a,MONSO,MOULTON HILL RD,"55,000.00",MOULTON HILL RD,3
,,15832,23751-319,,03-09-2021 10:42:06a,BRIMFIELD,ST GEORGE RD,"29,000.00",ST GEORGE RD,0
,,16114,23753-453,,03-10-2021 10:53:54a,CHESTER,MAIN ST,,,5
,,16175,23754-82,,03-10-2021 12:33:09p,SPRINGFIELD,BALTIMORE AVE,1.00,BALTIMORE AVE,3
,,16256,23754-471,,03-10-2021 3:04:52p,LUDLOW,ANHOR ST,"2,500.00",ANHOR ST,2
,,16458,23755-532,,03-11-2021 11:31:05a,BRIMFIELD,APPLE RD,"55,000.00",APPLE RD,2
,,16491,23756-39,,03-11-2021 1:13:53p,CHESTER,BIRCH CIR,"15,100.00",BIRCH CIR,5
,,16486,23756-32,,03-11-2021 12:55:11p,CHESTER,ROUND HILL RD,"15,001.00",ROUND HILL RD,3
,,17139,23760-546,,03-12-2021 3:24:52p,BRIMFIELD,JANES HILL CROSS RD,"89,900.00",JANES HILL CROSS RD,3
,,17750,23765-269,,03-16-2021 10:38:34a,BAST LONGMEADOW,PATTERSON AVE,,PATTERSON AVE,4
,,17749,23765-266,,03-16-2021 10:37:26a,AGAWAM,ADAMS ST,"66,739.00",ADAMS ST,4
,,17884,23766-326,,03-16-2021 2:03:41p,BAST LONGMEADOW,BELLA VISTA DR,"189,900.00",BELLA VISTA DR,3
,,17911,23766-514,,03-16-2021 2:30:20p,WESTFIELD,SOUTH MEADOW RD,"190,000.00",SOUTH MEADOW RD,2
,,18184,23768-388,,03-17-2021 1:46:31p,RUSSELL,DICKINSON HILL RD,1.00,,5
,,18181,23768-372,,03-17-2021 1:37:18p,RUSSELL,DICKINSON HILL RD,"146,000.00",DICKINSON HILL RD,5
,,18171,23768-345,,03-17-2021 1:17:21p,BAST LONGMEADOW,L ST,1.00,SEE RECORD,1
,,18447,23770-202,,03-18-2021 11:28:55a,WESTFIELD,WEST RD,"360,000.00",WEST RD,0
,,18545,23771-32,,03-18-2021 1:50:19p,BLANDFORD,RUSSELL STAGE RD,"249,900.00",RUSSELL STAGE RD,4
,,18744,23772-413,,03-19-2021 11:09:46a,HOLLAND,MAYBROOK RD,"270,000.00",MAYBROOK RD,2
,,18760,23772-516,23705-579,03-19-2021 11:36:19a,AGAWAM,BURLINGTON DR,1.00,BURLINGTON DR,4
,,18752,23772-455,,03-19-2021 11:16:31a,SPRINGFIELD,FLORENCE ST,"222,000.00",FLORENCE ST,0
,,19401,23778-112,,03-22-2021 3:17:34p,WEST SPRINGFIELD,AGAWAM AVE,"430,000.00",AGAWAM AVE,2
,,19886,23782-119,,03-24-2021 11:03:39a,SPRINGFIELD,TINKHAM RD,,TINKHAM RD,3
,,19938,23782-422,,03-24-2021 1:04:53p,BAST LONGMEADOW,JEFFREY LA,"157,000.00",JEFFREY LA,3
,,19926,23782-364,,03-24-2021 12:30:00p,BAST LONGMEADOW,JEFFREY LA,"157,000.00",JEFFREY LA,1
,,20524,23787-1,,03-26-2021 12:01:44p,SOUTHWICK,GABLEVIEW LA,"146,000.00",,3
,,20704,23788-299,,03-26-2021 3:34:24p,LUDLOW,PINEHY LA,"15,000.00",PINEY LA,6
,,21291,23793-199,,03-30-2021 1:37:42p,LUDLOW,EAST ST,"45,000.00",EAST ST,3
,,21319,23793-328,,03-30-2021 2:15:24p,LUDLOW,EAST ST,"262,500.00",SHE RECORD,2
,,21542,23795-353,,03-31-2021 10:59:44a,CHICOPEE,MEADOW ST,"260,900.00",,1
,,21647,23796-208,,03-31-2021 12:55:15p,CHESTER,E RIVER RD,"25,000.00",EB RIVER RD,5
,,21721,23796-572,,03-31-2021 2:03:39p,SPRINGFIELD,ST JAMES BLVD,1.00,,2
,,21715,23796-505,,03-31-2021 1:57:17p,SPRINGFIELD,ST JAMES BLVD,1.00,ST JAMES BLVD,2
,,21712,23796-484,,03-31-2021 1:54:41p,SPRINGFIELD,ST JAMES BLVD,1.00,ST JAMES BLVD,2
,,21959,23798-578,,04-01-2021 9:06:12a,SPRINGFIELD,WRENTHAM RD,1.00,SHE RECORD,3
